id,name,carrier,technology,component,country,p_nom,max_hours,volume_mm3,damheight_m,yearcommissioned,retrofit,lat,lon,projectid,yeardecommissioning,bus
1509,Stammham,hydro,Run-Of-River,Store,DE,23.2,0.0,0.0,0.0,1955,1955.0,48.24932,12.86469,"{'JRC': ['H1311'], 'OPSD': ['BNA0921'], 'CARMA': ['CARMA43037']}",2055,3320
1512,Waldshut,hydro,Pumped Storage,Store,DE,150.0,3.2,1.35,160.0,1951,1951.0,47.61777,8.1926,"{'JRC': ['H330'], 'OPSD': ['BNA1003'], 'CARMA': ['CARMA48792']}",2051,3460
1514,Walchensee,hydro,Reservoir,Store,DE,124.0,0.0,1.324,200.0,1924,1955.0,47.631353999999895,11.337054,"{'JRC': ['H415'], 'OPSD': ['BNA0540'], 'CARMA': ['CARMA48773']}",2055,3323
1517,Vohburg,hydro,Run-Of-River,Store,DE,23.3,0.0,0.0,0.0,1992,1992.0,48.778103,11.6011899999999,"{'JRC': ['H1310'], 'OPSD': ['BNA0996'], 'CARMA': ['CARMA48477']}",2092,3305
1529,Urspring,hydro,Run-Of-River,Store,DE,10.1,0.0,0.0,0.0,1966,1966.0,47.71598,10.825785,"{'JRC': ['H1734'], 'OPSD': ['BNA1191'], 'CARMA': ['CARMA47299']}",2066,3323
1531,Uppenborn,hydro,Run-Of-River,Store,DE,25.0,0.0,0.0,0.0,1930,1930.0,48.4734739999999,11.95481,"{'JRC': ['H1255'], 'OPSD': ['BNA1008'], 'CARMA': ['CARMA47193']}",2030,3312
1534,Unterbergen,hydro,Run-Of-River,Store,DE,12.4,0.0,0.0,0.0,1983,1983.0,48.237449,10.92718,"{'JRC': ['H1650'], 'OPSD': ['BNA1247'], 'CARMA': ['CARMA47154']}",2083,3499
1540,Zeltingen,hydro,Run-Of-River,Store,DE,13.6,0.0,0.0,0.0,1964,1964.0,49.951074,7.0231660000000025,"{'JRC': ['H1606'], 'OPSD': ['BNA1287'], 'CARMA': ['CARMA50956']}",2064,4611
1543,Dotierkraftwerk wyhlen am beckenpass,hydro,Run-Of-River,Store,DE,38.1147,0.0,0.0,0.0,1912,1912.0,47.54327846666667,7.691031366666667,"{'JRC': ['H2922', 'H3035', 'H1024'], 'OPSD': ['BNA0362'], 'CARMA': ['CARMA50234']}",2012,3458
1545,Witznau,hydro,Pumped Storage,Store,DE,220.0,3.2818181818181817,1.3,250.0,1943,1943.0,47.687909999999896,8.25159,"{'JRC': ['H209'], 'OPSD': ['BNA1071'], 'CARMA': ['CARMA49939']}",2043,3460
